filename,width,height,class,xmin,ymin,xmax,ymax
license21_scaled2.jpg,4032,3024,license,150,1053,2647,2337
license54_scaled0.jpg,4032,3024,license,1705,366,3869,1588
license70_scaled2.jpg,4032,3024,license,643,1385,2195,2101
license63_scaled1.jpg,4032,3024,license,589,1040,3066,2427
license24.jpg,4032,3024,license,821,1295,3360,2898
license81.jpg,1024,768,license,75,91,968,642
license75.jpg,4032,3024,license,121,92,3908,2430
license56_scaled1.jpg,4032,3024,license,637,1308,2550,2272
license32.jpg,4032,3024,license,227,172,2898,1814
license67_scaled1.jpg,4032,3024,license,1347,692,3914,2756
license72_scaled2.jpg,4032,3024,license,495,295,3663,2263
license50_scaled0.jpg,4032,3024,license,966,559,3769,1879
license56_scaled2.jpg,4032,3024,license,163,1250,2718,2540
license73_scaled1.jpg,4032,3024,license,79,669,3824,2263
license70.jpg,4032,3024,license,337,1276,2234,2447
license14_scaled0.jpg,4032,3024,license,1476,1269,3450,2879
license65.jpg,4032,3024,license,156,166,2195,1421
license38_scaled2.jpg,4032,3024,license,1160,388,2579,1408
license14_scaled2.jpg,4032,3024,license,1066,1098,3963,2830
license69_scaled0.jpg,4032,3024,license,250,347,3101,1753
license48_scaled2.jpg,4032,3024,license,172,1011,3327,2998
license36_scaled1.jpg,4032,3024,license,1030,1234,2947,2782
license41_scaled0.jpg,4032,3024,license,1066,592,3740,1856
license49.jpg,4032,3024,license,979,1166,3824,2872
license65_scaled2.jpg,4032,3024,license,50,369,2479,1434
license33_scaled0.jpg,4032,3024,license,21,1005,3230,2534
license41_scaled2.jpg,4032,3024,license,1172,769,3511,1795
license13_scaled1.jpg,4032,3024,license,1518,1237,3047,2034
license51_scaled0.jpg,4032,3024,license,237,727,3827,2259
license7_scaled2.jpg,3024,4032,license,1313,742,2800,2507
license29_scaled0.jpg,4032,3024,license,314,395,3972,2934
license72_scaled0.jpg,4032,3024,license,324,1,3927,2372
license60_scaled2.jpg,4032,3024,license,1976,624,3656,1411
license79_scaled0.jpg,600,400,license,26,79,577,319
license2.jpg,3024,4032,license,435,264,2696,3929
license77_scaled0.jpg,4032,3024,license,779,479,3343,2363
license7.jpg,3024,4032,license,1291,220,2883,2712
license20_scaled2.jpg,4032,3024,license,1092,817,2743,2182
license61.jpg,4032,3024,license,1240,98,2943,1163
license52_scaled1.jpg,4032,3024,license,382,482,3653,2627
license41_scaled1.jpg,4032,3024,license,982,114,3840,2101
license39.jpg,4032,3024,license,885,734,3560,2421
license52_scaled0.jpg,4032,3024,license,105,556,3989,2543
license42_scaled2.jpg,4032,3024,license,918,1095,3905,2624
license46_scaled0.jpg,4032,3024,license,1189,1159,2721,1837
license68.jpg,4032,3024,license,1166,117,3960,1821
license16_scaled2.jpg,4032,3024,license,185,27,3389,2434
